[2019-04-23 11:35:36,006] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:35:36,045] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:35:36,168] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:35:36,174] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:35:36,174] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:35:36,194] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:35:36,196] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:35:41,204] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:35:58,335] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:35:58,335] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:35:58,372] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:35:58,510] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:35:58,516] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:35:58,516] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:35:58,540] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:35:58,540] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:36:03,549] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:37:15,177] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:37:15,190] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:37:15,197] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:38:03,838] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:38:03,838] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:03,875] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:03,999] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:38:04,003] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:38:04,003] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:38:04,025] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:38:04,025] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:38:09,032] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:38:28,940] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:38:28,940] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:28,982] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:29,118] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
